City,Date,Max Temp (°C),Min Temp (°C),Rain Amount (mm),Rain Chance (%),Rain Duration (Hrs)
Bahawalpur,2026-05-04,39.3,25.9,0.0,2,0.0
Bahawalpur,2026-05-05,38.2,25.2,0.0,0,0.0
Bahawalpur,2026-05-06,40.6,24.8,0.0,0,0.0
Bahawalpur,2026-05-07,41.9,26.4,0.0,0,0.0
Bahawalpur,2026-05-08,42.5,27.0,0.0,0,0.0
Bahawalpur,2026-05-09,44.2,26.8,0.0,0,0.0
Bahawalpur,2026-05-10,44.8,29.6,0.0,0,0.0
Bahawalpur,2026-05-11,43.5,30.2,0.0,0,0.0
Bahawalpur,2026-05-12,43.4,29.5,0.0,0,0.0
Bahawalpur,2026-05-13,43.5,30.0,0.0,0,0.0
Bahawalpur,2026-05-14,45.7,29.1,0.0,0,0.0
Bahawalpur,2026-05-15,47.0,29.0,0.0,0,0.0
Bahawalpur,2026-05-16,45.5,31.4,0.0,0,0.0
Bahawalpur,2026-05-17,44.6,32.2,0.0,0,0.0
Bahawalpur,2026-05-18,45.2,32.0,0.0,0,0.0
Bahawalpur,2026-05-19,49.2,31.6,0.0,3,0.0
Multan,2026-05-04,38.7,25.4,0.0,10,0.0
Multan,2026-05-05,37.1,24.4,0.0,0,0.0
Multan,2026-05-06,39.7,24.4,0.0,0,0.0
Multan,2026-05-07,40.7,25.3,0.0,0,0.0
Multan,2026-05-08,41.8,25.9,0.0,0,0.0
Multan,2026-05-09,43.8,27.7,0.0,0,0.0
Multan,2026-05-10,45.0,27.3,0.0,0,0.0
Multan,2026-05-11,42.0,29.6,0.0,0,0.0
Multan,2026-05-12,42.9,28.9,0.0,0,0.0
Multan,2026-05-13,44.7,29.0,0.0,0,0.0
Multan,2026-05-14,44.9,28.9,0.0,0,0.0
Multan,2026-05-15,46.5,29.1,0.0,0,0.0
Multan,2026-05-16,46.4,29.7,0.0,0,0.0
Multan,2026-05-17,45.8,31.0,0.0,0,0.0
Multan,2026-05-18,45.0,29.8,0.0,0,0.0
Multan,2026-05-19,48.3,30.3,0.0,3,0.0
Rahim Yar Khan,2026-05-04,40.5,26.1,0.0,0,0.0
Rahim Yar Khan,2026-05-05,39.0,26.5,0.0,0,0.0
Rahim Yar Khan,2026-05-06,42.0,25.0,0.0,0,0.0
Rahim Yar Khan,2026-05-07,42.8,24.1,0.0,0,0.0
Rahim Yar Khan,2026-05-08,43.2,27.1,0.0,0,0.0
Rahim Yar Khan,2026-05-09,44.5,27.9,0.0,0,0.0
Rahim Yar Khan,2026-05-10,45.2,29.8,0.0,0,0.0
Rahim Yar Khan,2026-05-11,45.9,31.4,0.0,2,0.0
Rahim Yar Khan,2026-05-12,44.8,31.0,0.0,0,0.0
Rahim Yar Khan,2026-05-13,45.8,30.3,0.0,0,0.0
Rahim Yar Khan,2026-05-14,46.5,29.1,0.0,0,0.0
Rahim Yar Khan,2026-05-15,46.7,29.2,0.0,0,0.0
Rahim Yar Khan,2026-05-16,45.8,30.3,0.0,0,0.0
Rahim Yar Khan,2026-05-17,46.5,30.9,0.0,0,0.0
Rahim Yar Khan,2026-05-18,45.5,32.1,0.0,0,0.0
Rahim Yar Khan,2026-05-19,50.0,30.6,0.0,0,0.0
Khanewal,2026-05-04,37.6,24.8,0.0,2,0.0
Khanewal,2026-05-05,35.8,23.1,0.0,0,0.0
Khanewal,2026-05-06,39.2,23.3,0.0,0,0.0
Khanewal,2026-05-07,40.3,25.5,0.0,0,0.0
Khanewal,2026-05-08,41.0,25.6,0.0,0,0.0
Khanewal,2026-05-09,43.0,25.7,0.0,0,0.0
Khanewal,2026-05-10,44.3,27.1,0.0,0,0.0
Khanewal,2026-05-11,42.2,29.9,0.0,0,0.0
Khanewal,2026-05-12,42.2,28.0,0.0,0,0.0
Khanewal,2026-05-13,44.9,28.6,0.0,0,0.0
Khanewal,2026-05-14,44.4,28.6,0.0,0,0.0
Khanewal,2026-05-15,46.2,28.9,0.0,0,0.0
Khanewal,2026-05-16,46.4,30.2,0.0,0,0.0
Khanewal,2026-05-17,45.6,30.1,0.0,2,0.0
Khanewal,2026-05-18,45.0,30.7,0.0,0,0.0
Khanewal,2026-05-19,49.5,29.5,0.0,3,0.0
Sanghar,2026-05-04,43.5,26.0,0.0,0,0.0
Sanghar,2026-05-05,42.8,25.9,0.0,0,0.0
Sanghar,2026-05-06,44.8,25.9,0.0,0,0.0
Sanghar,2026-05-07,44.3,26.8,0.0,0,0.0
Sanghar,2026-05-08,43.2,26.2,0.0,0,0.0
Sanghar,2026-05-09,45.0,26.4,0.0,0,0.0
Sanghar,2026-05-10,46.0,26.6,0.0,0,0.0
Sanghar,2026-05-11,45.9,26.7,0.0,0,0.0
Sanghar,2026-05-12,47.1,27.9,0.0,0,0.0
Sanghar,2026-05-13,48.2,30.9,0.0,0,0.0
Sanghar,2026-05-14,49.3,29.6,0.0,0,0.0
Sanghar,2026-05-15,47.4,31.9,0.0,0,0.0
Sanghar,2026-05-16,45.5,29.9,0.0,2,0.0
Sanghar,2026-05-17,44.0,28.5,0.0,0,0.0
Sanghar,2026-05-18,46.6,29.1,0.0,0,0.0
Sanghar,2026-05-19,49.6,29.5,0.0,0,0.0
Hyderabad,2026-05-04,42.5,29.0,0.0,0,0.0
Hyderabad,2026-05-05,43.2,23.9,0.0,0,0.0
Hyderabad,2026-05-06,43.8,25.2,0.0,0,0.0
Hyderabad,2026-05-07,40.3,25.6,0.0,0,0.0
Hyderabad,2026-05-08,39.7,25.9,0.0,2,0.0
Hyderabad,2026-05-09,41.0,25.8,0.0,0,0.0
Hyderabad,2026-05-10,41.8,25.5,0.0,0,0.0
Hyderabad,2026-05-11,42.1,25.9,0.0,0,0.0
Hyderabad,2026-05-12,43.5,25.7,0.0,0,0.0
Hyderabad,2026-05-13,44.5,28.5,0.0,0,0.0
Hyderabad,2026-05-14,47.0,27.4,0.0,0,0.0
Hyderabad,2026-05-15,45.5,31.0,0.0,0,0.0
Hyderabad,2026-05-16,42.2,27.9,0.0,0,0.0
Hyderabad,2026-05-17,39.0,26.8,0.0,0,0.0
Hyderabad,2026-05-18,41.2,27.1,0.0,0,0.0
Hyderabad,2026-05-19,47.7,28.2,0.0,0,0.0
Ghotki,2026-05-04,41.5,26.5,0.0,0,0.0
Ghotki,2026-05-05,39.8,27.6,0.0,0,0.0
Ghotki,2026-05-06,43.2,26.2,0.0,0,0.0
Ghotki,2026-05-07,44.8,25.0,0.0,0,0.0
Ghotki,2026-05-08,43.8,28.1,0.0,0,0.0
Ghotki,2026-05-09,45.6,30.0,0.0,0,0.0
Ghotki,2026-05-10,46.2,30.5,0.0,0,0.0
Ghotki,2026-05-11,46.3,32.2,0.0,0,0.0
Ghotki,2026-05-12,47.0,31.0,0.0,0,0.0
Ghotki,2026-05-13,47.4,30.6,0.0,0,0.0
Ghotki,2026-05-14,47.5,31.0,0.0,0,0.0
Ghotki,2026-05-15,47.5,30.1,0.0,0,0.0
Ghotki,2026-05-16,47.5,30.5,0.0,0,0.0
Ghotki,2026-05-17,47.5,30.9,0.0,0,0.0
Ghotki,2026-05-18,46.1,33.2,0.0,0,0.0
Ghotki,2026-05-19,50.6,32.3,0.0,0,0.0
Khairpur,2026-05-04,42.7,26.1,0.0,0,0.0
Khairpur,2026-05-05,40.6,27.9,0.0,0,0.0
